ID,dataset,model,noise,noise-args,robust-method,loss-args,eval_loss,eval_accuracy,epochs,batch_size,best-hyperparameters,seed
LNSD-105,diabetes,simple-mlp,uniform,0.3,backward,"[[[0.7, 0.3], [0.3, 0.7]]]",-0.6310533285,0.8846153617,10,32,"{'num_layers': 2, 'hidden_size_0': 81, 'hidden_size_1': 15, 'dropout': 0.03511781269717573}",777
LNSD-78,diabetes,simple-mlp,uniform,0,boot-hard,[],0.1686283797,0.913461566,10,32,"{'num_layers': 3, 'hidden_size_0': 50, 'hidden_size_1': 81, 'hidden_size_2': 23, 'dropout': 0.17062899276995758}",777
LNSD-77,diabetes,simple-mlp,uniform,0.05,boot-hard,[],0.1875412762,0.9326922894,10,32,"{'num_layers': 3, 'hidden_size_0': 64, 'hidden_size_1': 92, 'hidden_size_2': 23, 'dropout': 0.06944332285728046}",777
LNSD-83,diabetes,simple-mlp,uniform,0.1,boot-hard,[],0.2003569752,0.9038461447,10,32,"{'num_layers': 3, 'hidden_size_0': 33, 'hidden_size_1': 96, 'hidden_size_2': 67, 'dropout': 0.024570339226993122}",777
LNSD-90,diabetes,simple-mlp,uniform,0.15,boot-hard,[],0.3058987856,0.8653846383,10,32,"{'num_layers': 3, 'hidden_size_0': 16, 'hidden_size_1': 85, 'hidden_size_2': 126, 'dropout': 0.13753748262481713}",777
LNSD-92,diabetes,simple-mlp,uniform,0.2,boot-hard,[],0.3924262226,0.8846153617,10,32,"{'num_layers': 3, 'hidden_size_0': 30, 'hidden_size_1': 23, 'hidden_size_2': 13, 'dropout': 0.12480370914307501}",777
LNSD-98,diabetes,simple-mlp,uniform,0.25,boot-hard,[],0.3861635923,0.855769217,10,32,"{'num_layers': 3, 'hidden_size_0': 38, 'hidden_size_1': 102, 'hidden_size_2': 62, 'dropout': 0.028645855593492302}",777
LNSD-103,diabetes,simple-mlp,uniform,0.3,boot-hard,[],0.4551689029,0.8269230723,10,32,"{'num_layers': 3, 'hidden_size_0': 9, 'hidden_size_1': 57, 'hidden_size_2': 32, 'dropout': 0.04244147160039889}",777
LNSD-71,diabetes,simple-mlp,uniform,0,boot-soft,[],0.1765605509,0.9519230723,10,32,"{'num_layers': 3, 'hidden_size_0': 19, 'hidden_size_1': 31, 'hidden_size_2': 107, 'dropout': 0.016884122213928612}",777
LNSD-72,diabetes,simple-mlp,uniform,0.05,boot-soft,[],0.2194080502,0.9423077106,10,32,"{'num_layers': 3, 'hidden_size_0': 64, 'hidden_size_1': 92, 'hidden_size_2': 23, 'dropout': 0.06944332285728046}",777
LNSD-82,diabetes,simple-mlp,uniform,0.1,boot-soft,[],0.2582363784,0.894230783,10,32,"{'num_layers': 1, 'hidden_size_0': 76, 'dropout': 0.01686602832870192}",777
LNSD-87,diabetes,simple-mlp,uniform,0.15,boot-soft,[],0.4340953827,0.894230783,10,32,"{'num_layers': 2, 'hidden_size_0': 40, 'hidden_size_1': 8, 'dropout': 0.19893049726056414}",777
LNSD-93,diabetes,simple-mlp,uniform,0.2,boot-soft,[],0.5110224485,0.769230783,10,32,"{'num_layers': 3, 'hidden_size_0': 14, 'hidden_size_1': 9, 'hidden_size_2': 9, 'dropout': 0.12097922143329726}",777
LNSD-97,diabetes,simple-mlp,uniform,0.25,boot-soft,[],0.4576702416,0.875,10,32,"{'num_layers': 1, 'hidden_size_0': 85, 'dropout': 0.12562501624845795}",777
LNSD-102,diabetes,simple-mlp,uniform,0.3,boot-soft,[],0.4841426015,0.8461538553,10,32,"{'num_layers': 3, 'hidden_size_0': 48, 'hidden_size_1': 11, 'hidden_size_2': 122, 'dropout': 0.017159317878422703}",777
LNSD-74,diabetes,simple-mlp,uniform,0,forward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.1509958208,0.9519230723,10,32,"{'num_layers': 3, 'hidden_size_0': 64, 'hidden_size_1': 92, 'hidden_size_2': 23, 'dropout': 0.06944332285728046}",777
LNSD-79,diabetes,simple-mlp,uniform,0.05,forward,"[[[0.95, 0.05], [0.05, 0.95]]]",0.2582931221,0.9038461447,10,32,"{'num_layers': 2, 'hidden_size_0': 92, 'hidden_size_1': 13, 'dropout': 0.10360736279213062}",777
LNSD-84,diabetes,simple-mlp,uniform,0.1,forward,"[[[0.9, 0.1], [0.1, 0.9]]]",0.2635098696,0.9423077106,10,32,"{'num_layers': 3, 'hidden_size_0': 23, 'hidden_size_1': 105, 'hidden_size_2': 75, 'dropout': 0.023942126889913352}",777
LNSD-88,diabetes,simple-mlp,uniform,0.15,forward,"[[[0.85, 0.15], [0.15, 0.85]]]",0.3032504022,0.9423077106,10,32,"{'num_layers': 3, 'hidden_size_0': 48, 'hidden_size_1': 77, 'hidden_size_2': 23, 'dropout': 0.07444056334702821}",777
